call_id,phone_number,other_party,timestamp,direction,duration_seconds,imei,imsi
C001,+919000000001,+919111111111,2026-09-18T10:01:00Z,OUTGOING,42,356789012345678,404010123456789
C002,+919000000002,+919111111111,2026-09-18T10:05:00Z,OUTGOING,31,356789012345678,404010987654321
C003,+919000000003,+919111001003,2026-09-18T08:19:00.000Z,INCOMING,23,356789100000003,404010100000003
C004,+919000000004,+919111001004,2026-09-18T08:22:00.000Z,OUTGOING,24,356789100000004,404010100000004
C005,+919000000005,+919111001005,2026-09-18T08:25:00.000Z,OUTGOING,25,356789100000005,404010100000005
C006,+919000000006,+919111001006,2026-09-18T08:28:00.000Z,INCOMING,26,356789100000006,404010100000006
C007,+919000000007,+919111001007,2026-09-18T08:31:00.000Z,OUTGOING,27,356789100000007,404010100000007
C008,+919000000008,+919111001008,2026-09-18T08:34:00.000Z,OUTGOING,28,356789100000008,404010100000008
C009,+919000000009,+919111001009,2026-09-18T08:37:00.000Z,INCOMING,29,356789100000009,404010100000009
C010,+919000000010,+919111001010,2026-09-18T08:40:00.000Z,OUTGOING,30,356789100000010,404010100000010
C011,+919000000011,+919111001011,2026-09-18T08:43:00.000Z,OUTGOING,31,356789100000011,404010100000011
C012,+919000000012,+919111001012,2026-09-18T08:46:00.000Z,INCOMING,32,356789100000012,404010100000012
C013,+919000000013,+919111001013,2026-09-18T08:49:00.000Z,OUTGOING,33,356789100000013,404010100000013
C014,+919000000014,+919111001014,2026-09-18T08:52:00.000Z,OUTGOING,34,356789100000014,404010100000014
C015,+919000000015,+919111001015,2026-09-18T08:55:00.000Z,INCOMING,35,356789100000015,404010100000015
C016,+919000000016,+919111001016,2026-09-18T08:58:00.000Z,OUTGOING,36,356789100000016,404010100000016
C017,+919000000017,+919111001017,2026-09-18T09:01:00.000Z,OUTGOING,37,356789100000017,404010100000017
C018,+919000000018,+919111001018,2026-09-18T09:04:00.000Z,INCOMING,38,356789100000018,404010100000018
C019,+919000000019,+919111001019,2026-09-18T09:07:00.000Z,OUTGOING,39,356789100000019,404010100000019
C020,+919000000020,+919111001020,2026-09-18T09:10:00.000Z,OUTGOING,40,356789100000020,404010100000020
C021,+919000000021,+919111001021,2026-09-18T09:13:00.000Z,INCOMING,41,356789100000021,404010100000021
