session_id,phone_number,ip_address,start_time,end_time,source_port,destination_ip
I001,+919000000001,103.21.45.10,2026-09-18T10:02:00Z,2026-09-18T10:12:00Z,51231,198.51.100.20
I002,+919000000002,103.21.45.10,2026-09-18T10:04:00Z,2026-09-18T10:14:00Z,51232,198.51.100.20
I003,+919000000003,198.51.100.13,2026-09-18T08:21:00.000Z,2026-09-18T08:32:00.000Z,51003,203.0.113.13
I004,+919000000004,198.51.100.14,2026-09-18T08:24:00.000Z,2026-09-18T08:36:00.000Z,51004,203.0.113.14
I005,+919000000005,198.51.100.15,2026-09-18T08:27:00.000Z,2026-09-18T08:40:00.000Z,51005,203.0.113.15
I006,+919000000006,198.51.100.16,2026-09-18T08:30:00.000Z,2026-09-18T08:44:00.000Z,51006,203.0.113.16
I007,+919000000007,198.51.100.17,2026-09-18T08:33:00.000Z,2026-09-18T08:48:00.000Z,51007,203.0.113.17
I008,+919000000008,198.51.100.18,2026-09-18T08:36:00.000Z,2026-09-18T08:52:00.000Z,51008,203.0.113.18
I009,+919000000009,198.51.100.19,2026-09-18T08:39:00.000Z,2026-09-18T08:56:00.000Z,51009,203.0.113.19
I010,+919000000010,198.51.100.20,2026-09-18T08:42:00.000Z,2026-09-18T09:00:00.000Z,51010,203.0.113.20
I011,+919000000011,198.51.100.21,2026-09-18T08:45:00.000Z,2026-09-18T09:04:00.000Z,51011,203.0.113.21
I012,+919000000012,198.51.100.22,2026-09-18T08:48:00.000Z,2026-09-18T08:56:00.000Z,51012,203.0.113.22
I013,+919000000013,198.51.100.23,2026-09-18T08:51:00.000Z,2026-09-18T09:00:00.000Z,51013,203.0.113.23
I014,+919000000014,198.51.100.24,2026-09-18T08:54:00.000Z,2026-09-18T09:04:00.000Z,51014,203.0.113.24
I015,+919000000015,198.51.100.25,2026-09-18T08:57:00.000Z,2026-09-18T09:08:00.000Z,51015,203.0.113.25
I016,+919000000016,198.51.100.26,2026-09-18T09:00:00.000Z,2026-09-18T09:12:00.000Z,51016,203.0.113.26
I017,+919000000017,198.51.100.27,2026-09-18T09:03:00.000Z,2026-09-18T09:16:00.000Z,51017,203.0.113.27
I018,+919000000018,198.51.100.28,2026-09-18T09:06:00.000Z,2026-09-18T09:20:00.000Z,51018,203.0.113.28
I019,+919000000019,198.51.100.29,2026-09-18T09:09:00.000Z,2026-09-18T09:24:00.000Z,51019,203.0.113.29
I020,+919000000020,198.51.100.30,2026-09-18T09:12:00.000Z,2026-09-18T09:28:00.000Z,51020,203.0.113.30
I021,+919000000021,198.51.100.31,2026-09-18T09:15:00.000Z,2026-09-18T09:32:00.000Z,51021,203.0.113.31
I022,+919000000022,198.51.100.32,2026-09-18T09:18:00.000Z,2026-09-18T09:36:00.000Z,51022,203.0.113.32
I023,+919000000023,198.51.100.33,2026-09-18T09:21:00.000Z,2026-09-18T09:40:00.000Z,51023,203.0.113.33
I024,+919000000024,198.51.100.34,2026-09-18T09:24:00.000Z,2026-09-18T09:32:00.000Z,51024,203.0.113.34
I025,+919000000025,198.51.100.35,2026-09-18T09:27:00.000Z,2026-09-18T09:36:00.000Z,51025,203.0.113.35
I026,+919000000026,198.51.100.36,2026-09-18T09:30:00.000Z,2026-09-18T09:40:00.000Z,51026,203.0.113.36
I027,+919000000027,198.51.100.37,2026-09-18T09:33:00.000Z,2026-09-18T09:44:00.000Z,51027,203.0.113.37
I028,+919000000028,198.51.100.38,2026-09-18T09:36:00.000Z,2026-09-18T09:48:00.000Z,51028,203.0.113.38
I029,+919000000029,198.51.100.39,2026-09-18T09:39:00.000Z,2026-09-18T09:52:00.000Z,51029,203.0.113.39
I030,+919000000030,198.51.100.40,2026-09-18T09:42:00.000Z,2026-09-18T09:56:00.000Z,51030,203.0.113.10
I031,+919000000031,198.51.100.41,2026-09-18T09:45:00.000Z,2026-09-18T10:00:00.000Z,51031,203.0.113.11
I032,+919000000032,198.51.100.42,2026-09-18T09:48:00.000Z,2026-09-18T10:04:00.000Z,51032,203.0.113.12
I033,+919000000033,198.51.100.43,2026-09-18T09:51:00.000Z,2026-09-18T10:08:00.000Z,51033,203.0.113.13
I034,+919000000034,198.51.100.44,2026-09-18T09:54:00.000Z,2026-09-18T10:12:00.000Z,51034,203.0.113.14
I035,+919000000035,198.51.100.10,2026-09-18T09:57:00.000Z,2026-09-18T10:16:00.000Z,51035,203.0.113.15
I036,+919000000036,198.51.100.11,2026-09-18T10:00:00.000Z,2026-09-18T10:08:00.000Z,51036,203.0.113.16
I037,+919000000037,198.51.100.12,2026-09-18T10:03:00.000Z,2026-09-18T10:12:00.000Z,51037,203.0.113.17
